,path_to_video,path_to_video,path_to_video,datasetID,subjectNr,start,end,label,class,subjects,trainTest
0,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,2,1,0.0,2850.0,0,NoFall,single,VALIDATION
1,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS1.avi,2,1,2900.0,6250.0,2,Backward Fall,single,VALIDATION
2,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,2,1,0.0,6500.0,0,NoFall,single,VALIDATION
3,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS1.avi,2,1,6550.0,9500.0,1,Forward Fall,single,TRAIN
4,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,2,1,0.0,2150.0,0,NoFall,single,TRAIN
5,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS1.avi,2,1,2200.0,4300.0,3,Side Fall,single,TRAIN
6,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,2,1,0.0,2750.0,0,NoFall,single,VALIDATION
7,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS1.avi,2,1,2800.0,5700.0,3,Side Fall,single,VALIDATION
8,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,2,1,0.0,4850.0,0,NoFall,single,VALIDATION
9,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS1.avi,2,1,4900.0,9100.0,3,Side Fall,single,VALIDATION
10,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,2,2,0.0,3100.0,0,NoFall,single,TRAIN
11,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/backwards/FallBackwardsS2.avi,2,2,3150.0,6000.0,2,Backward Fall,single,TRAIN
12,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,2,2,0.0,1150.0,0,NoFall,single,TRAIN
13,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/forward/FallForwardS2.avi,2,2,1200.0,5300.0,1,Forward Fall,single,VALIDATION
14,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,2,2,0.0,1550.0,0,NoFall,single,TRAIN
15,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallLeftS2.avi,2,2,1600.0,5450.0,3,Side Fall,single,TRAIN
16,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,2,2,0.0,1600.0,0,NoFall,single,VALIDATION
17,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallRightS2.avi,2,2,1650.0,7300.0,3,Side Fall,single,TRAIN
18,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS2.avi,/lsdf/data/activity/fall_detection/CAUCAFall/video/side/FallSittingS2.avi,2,2,0.0,4000.0,0,NoFall,single,TRAIN
